order_no,order_type,order_state,pos_no,detail_state,date_issued,suplier_id,supplier_name,part_no,serial_no,description,qty,uom,backorder,priority,order_currency,local_price,local_amnt,foreign_price,foreign_amt,cost_center,receiving_date,author,material_type,ship_to
P0303224,P,RECEIVED,1,RECEIVED,10/10/2024,REDACTED,REDACTED,T101912, ,PLATE SET,1,EA,0,URGENT,USD,82080000,82080000,5472,5472,24BL412N,11/22/2024,REDACTED,T,REDACTED
P0303224,P,RECEIVED,2,RECEIVED,10/10/2024,REDACTED,REDACTED,T101589, ,BEARING REMOVAL / PLATE ASSY,1,EA,0,URGENT,USD,15420000,15420000,1028,1028,24BL412N,11/13/2024,REDACTED,T,REDACTED
P0303224,P,RECEIVED,3,RECEIVED,10/10/2024,REDACTED,REDACTED,T101392, ,WRENCH,1,EA,0,URGENT,USD,52440000,52440000,3496,3496,24BL412N,11/19/2024,REDACTED,T,REDACTED
P0303324,P,RECEIVED,1,RECEIVED,10/11/2024,REDACTED,REDACTED,BRASS BRUSH SMALL, ,BRASS BRUSH SMALL,5,EA,0,NORMAL,IDR,7000,35000,7000,35000,TOOLEQPT,10/30/2024,REDACTED,N,REDACTED
P0303324,P,RECEIVED,2,RECEIVED,10/11/2024,REDACTED,REDACTED,STEEL TUBE BRUSH 13MM FEMALE, ,STEEL TUBE BRUSH 13MM FEMALE,5,EA,0,NORMAL,IDR,26000,130000,26000,130000,TOOLEQPT,11/12/2024,REDACTED,N,REDACTED
P0303324,P,RECEIVED,3,RECEIVED,10/11/2024,REDACTED,REDACTED,STEEL TUBE BRUSH 10MM MALE, ,STEEL TUBE BRUSH 10MM MALE,5,EA,0,NORMAL,IDR,26000,130000,26000,130000,TOOLEQPT,11/4/2024,REDACTED,N,REDACTED
P0303324,P,RECEIVED,4,RECEIVED,10/11/2024,REDACTED,REDACTED,POLYESTER 600D ROYAL BLUE, ,POLYESTER 600D ROYAL BLUE,12,M,0,NORMAL,IDR,26650,319800,26650,319800,TOOLEQPT,10/31/2024,REDACTED,N,REDACTED
P0303324,P,RECEIVED,5,RECEIVED,10/11/2024,REDACTED,REDACTED,"POLISHING WOOL PAD WHEEL 4""", ,"POLISHING WOOL PAD WHEEL 4""",5,EA,0,NORMAL,IDR,65000,325000,65000,325000,TOOLEQPT,10/28/2024,REDACTED,N,REDACTED
P0303324,P,RECEIVED,6,RECEIVED,10/11/2024,REDACTED,REDACTED,BROWN-PAPER, ,BROWN PAPER ROLL,3,ROLL,0,NORMAL,IDR,501200,1503600,501200,1503600,COMPOS00,10/31/2024,REDACTED,N,REDACTED
P0303424,P,RECEIVED,1,RECEIVED,10/11/2024,REDACTED,REDACTED,RES-1201-00, ,SEAT RESCUE,2,EA,0,URGENT,USD,55425000,110850000,3695,7390,24GBO105,2/14/2025,REDACTED,N,REDACTED
P0303524,P,RECEIVED,1,RECEIVED,10/11/2024,REDACTED,REDACTED,GCAD1811, ,"18PCS 1/4"" DR. 12PT SOCKET SET",10,EA,0,NORMAL,IDR,860000,8600000,860000,8600000,TOOLEQPT,11/12/2024,REDACTED,N,REDACTED
P0303624,P,RECEIVED,1,RECEIVED,10/11/2024,REDACTED,REDACTED,01-0771450B21, ,POSITION LIGHT INSTRUMENT PANEL,12,EA,0,URGENT,USD,1384650,16615800,92.31,1107.72,24FAS555,2/7/2025,REDACTED,C,REDACTED
P0303724,P,RECEIVED,1,RECEIVED,10/11/2024,REDACTED,REDACTED,MS24693-S301, ,SCREW,20,EA,0,URGENT,GBP,25000,500000,1.25,25,24BL412N,11/13/2024,REDACTED,C,REDACTED
P0303724,P,RECEIVED,2,RECEIVED,10/11/2024,REDACTED,REDACTED,NAS43DDO-10, ,SPACER,4,EA,0,URGENT,GBP,125000,500000,6.25,25,24BL412N,11/13/2024,REDACTED,C,REDACTED
P0303824,P,RECEIVED,1,RECEIVED,10/11/2024,REDACTED,REDACTED,RD260, ,NIKKO STEEL WELDING ELECTRODES,3,BOX,0,NORMAL,IDR,239000,717000,239000,717000,TOOLEQPT,10/21/2024,REDACTED,N,REDACTED
P0303824,P,RECEIVED,2,RECEIVED,10/11/2024,REDACTED,REDACTED,"1/2"" YELLOW SEAL TAPE ONDA", ,"1/2"" YELLOW SEAL TAPE ONDA",20,EA,0,NORMAL,IDR,6000,120000,6000,120000,TOOLEQPT,10/29/2024,REDACTED,N,REDACTED
P0303824,P,RECEIVED,3,RECEIVED,10/11/2024,REDACTED,REDACTED,A24S BF, ,GRINDING WHEEL 100X6X16MM,2,BOX,0,NORMAL,IDR,339000,678000,339000,678000,TOOLEQPT,10/21/2024,REDACTED,N,REDACTED
P0303924,P,RECEIVED,1,RECEIVED,10/14/2024,REDACTED,REDACTED,523-0775807, ,BEECHJET 400A AVIONICS SYSTEM MANUAL,1,EA,0,URGENT,USD,7725000,7725000,515,515,24B1POBJ,10/24/2024,REDACTED,S,REDACTED
P0303924,P,RECEIVED,2,RECEIVED,10/14/2024,REDACTED,REDACTED,523-0777736, ,B400A AVS DIAG GUIDE,1,EA,0,URGENT,USD,1215000,1215000,81,81,24B1POBJ,10/24/2024,REDACTED,S,REDACTED
P0304024,P,RECEIVED,1,RECEIVED,10/14/2024,REDACTED,REDACTED,3G5605G00132, ,TOOL KIT WINDOWS INSTALLATION,1,EA,0,NORMAL,USD,80175000,80175000,5345,5345,24AW169P,2/8/2025,REDACTED,T,REDACTED
P0304124,P,RECEIVED,1,RECEIVED,10/14/2024,REDACTED,REDACTED,4F6430L00751, ,"NUT,CONTROL ROD",1,EA,0,URGENT,EUR,8586750,8586750,572.45,572.45,24AW169P,12/30/2024,REDACTED,C,REDACTED
P0304124,P,RECEIVED,2,RECEIVED,10/14/2024,REDACTED,REDACTED,6F6220A05151, ,PROTECTION PLATE,3,EA,0,URGENT,EUR,625800,1877400,41.72,125.16,24AW169P,12/30/2024,REDACTED,P,REDACTED
P0304124,P,RECEIVED,3,RECEIVED,10/14/2024,REDACTED,REDACTED,A135A10, ,"NUT,SELF-LOCKING,CASTELLATED",4,EA,0,URGENT,EUR,5897250,23589000,393.15,1572.6,24AW169P,12/30/2024,REDACTED,C,REDACTED
P0304124,P,RECEIVED,4,RECEIVED,10/14/2024,REDACTED,REDACTED,LAMHALPATCH01R1, ,CLEAR LAMINATE PATCH,15,EA,0,URGENT,EUR,105600,1584000,7.04,105.6,24AW169P,1/20/2025,REDACTED,C,REDACTED
P0304124,P,RECEIVED,5,RECEIVED,10/14/2024,REDACTED,REDACTED,NAS1149V0432H, ,FLAT WASHER,40,EA,0,URGENT,EUR,52050,2082000,3.47,138.8,24AW169P,12/30/2024,REDACTED,C,REDACTED
P0304124,P,RECEIVED,6,RECEIVED,10/14/2024,REDACTED,REDACTED,6F6430A01352, ,PEELING SHIM,1,EA,0,URGENT,EUR,4916850,4916850,327.79,327.79,24AW169P,12/30/2024,REDACTED,P,REDACTED
P0304224,P,OPEN,1,OPEN,10/14/2024,REDACTED,REDACTED,3648901050, ,HMP 400 ROUNDS WITHOUT MACHINE GUN,2,EA,2,NORMAL,EUR,2325000000,4650000000,155000,310000,25TAS555,,REDACTED,P,REDACTED
P0304224,P,OPEN,2,OPEN,10/14/2024,REDACTED,REDACTED,3648910140, ,FN M3P MK2 LONG SFH,2,EA,2,NORMAL,EUR,486375000,972750000,32425,64850,25TAS555,,REDACTED,P,REDACTED
P0304224,P,OPEN,3,OPEN,10/14/2024,REDACTED,REDACTED,3530160050, ,TN24 + LIGHT TRIPOD + TELE STAFF,1,EA,1,NORMAL,EUR,6094650,6094650,406.31,406.31,25TAS555,,REDACTED,P,REDACTED
P0304224,P,OPEN,4,OPEN,10/14/2024,REDACTED,REDACTED,3530401000, ,HANDLING LOADING TROLLEY,1,EA,1,NORMAL,EUR,375786300,375786300,25052.42,25052.42,25TAS555,,REDACTED,P,REDACTED
P0304224,P,OPEN,5,OPEN,10/14/2024,REDACTED,REDACTED,3538940250, ,BORESIGHTING TOOLS KIT 12.7MM TY2 GR,1,EA,1,NORMAL,EUR,273944550,273944550,18262.97,18262.97,25TAS555,,REDACTED,P,REDACTED
P0304224,P,OPEN,6,OPEN,10/14/2024,REDACTED,REDACTED,3529100060, ,M3P-HMP TOOL KIT FOR ARMOURER,1,EA,1,NORMAL,EUR,405027150,405027150,27001.81,27001.81,25TAS555,,REDACTED,P,REDACTED
P0304224,P,OPEN,7,OPEN,10/14/2024,REDACTED,REDACTED,3649403010, ,HMP TOOL KIT FOR USER,1,EA,1,NORMAL,EUR,138848250,138848250,9256.55,9256.55,25TAS555,,REDACTED,P,REDACTED
P0304224,P,OPEN,8,OPEN,10/14/2024,REDACTED,REDACTED,3536300010, ,HANDLING DEVICE ASSY 400 AMMO BOX,1,EA,1,NORMAL,EUR,14844750,14844750,989.65,989.65,25TAS555,,REDACTED,P,REDACTED
P0304224,P,OPEN,9,OPEN,10/14/2024,REDACTED,REDACTED,3538937030, ,TBU FIELD TEST UNIT FOR FN POD,1,EA,1,NORMAL,EUR,368076300,368076300,24538.42,24538.42,25TAS555,,REDACTED,P,REDACTED
P0304224,P,OPEN,10,OPEN,10/14/2024,REDACTED,REDACTED,3529051040, ,PRP 905/208 FN M3P MK2 5000 ROUNDS,8,EA,8,NORMAL,EUR,13048200,104385600,869.88,6959.04,25TAS555,,REDACTED,C,REDACTED
